Comment,Designator,Footprint,LCSC
100uF,C2,CP_Radial_D5.0mm_P2.00mm,
0.1uF,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,
String2,J2,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String5,J5,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String6,J6,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String7,J7,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String8,J8,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
Pwr In,J9,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
USB,J10,USB_A_Molex_105057_Vertical,
RTC Conn,J11,PinHeader_1x05_P2.54mm_Vertical,
GPIO Header,J12,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
OLED Select,J13,PinSocket_1x04_P2.54mm_Vertical,
3544-2,F1,FUSE_3544-2,
5V LED,D2,LED_D3.0mm_Clear,
0.1uF,C3,C_Rect_L7.0mm_W2.0mm_P5.00mm,
500ma,F2,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,
String1,J1,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String3,J3,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
String4,J4,"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",
VIN2 LED,D1,LED_D3.0mm_Clear,
2.2K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
330,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
24L256,U2,DIP-8_W7.62mm,
POCKETBEAGLE-SC-569,U3,BEAGLE_POCKETBEAGLE-SC-569,
OLED Select,SW1,SW_CuK_JS202011CQN_DPDT_Straight,
0.1uF,C6,C_Rect_L7.0mm_W2.0mm_P5.00mm,
0.1uF,C7,C_Rect_L7.0mm_W2.0mm_P5.00mm,
Universe5V,U1,Universal_5V_Horizontal,
4.7K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
4.7K,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Enter BTN,SW2,SW_PUSH_6mm,
220uF,C1,CP_Radial_D10.0mm_P5.00mm,
120,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
0.1uF,C5,C_Rect_L7.0mm_W2.0mm_P5.00mm,
Zener 5.1V,D3,D_5W_P10.16mm_Horizontal,
Down BTN,SW3,SW_PUSH_6mm,
AM26C31,IC2,DIP-16_W7.62mm,
120,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
MountingHole,H4,MountingHole_3.7mm,
MountingHole,H1,MountingHole_3.7mm,
120,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
120,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
MountingHole,H2,MountingHole_3.7mm,
AM26C31,IC1,DIP-16_W7.62mm,
MountingHole,H3,MountingHole_3.7mm,
